Task Name,Description,Team,Period,Recurrence,Coins
Opening Shift Process Checklist,"Complete global opening procedure: keyhandover, lights, equipment setup & morning line prep",Everyone,Morning,Daily,30
Closing Shift Process Checklist,"Complete global closing procedure: POS register closure, sanitization, alarm & building lockup",Everyone,Evening,Daily,30
Register closure & POS terminal balance,"Balance POS terminal, reconcile daily cash, organize merchant receipts and drop deposit envelope",Front,Evening,Daily,15
Fridge restocking & beverage audit,"Check beverage stock levels, restock beer taps, refill lemon slices, ice buckets and mineral water",Front,Morning,Daily,10
Upselling gourmet wines & dessert combos,"Proactively recommend daily wine pairing specials and artisanal dessert combos during floor service",Front,Afternoon,Daily,10
Deep clean beverage dispenser & bar floor,"Flush beverage lines, scrub drain mats, sweep and mop behind main bar area",Front,Evening,Weekly,25
Terrace setup & furniture alignment,"Unfold terrace umbrellas, sanitize dining tables, align chairs and set up outdoor windbreakers",Front,Morning,Daily,15
Cutlery polishing & napkin folding,"Polish silverware from dishwasher, roll cutlery into linen napkins, stock service side stations",Front,Afternoon,Daily,5
Quick dining table clear & tray assist,"Clear empty plates, wipe dining tables between guest seatings, assist floor team during peak rush",Front,Anytime,Daily,1
Bar glass sanitation & ice machine maintenance,"Clean bar glassware washer, refill ice bins, sanitize speed rails and pour spouts",Front,Evening,Weekly,20
Kitchen station sanitization & line setup,"Sanitize prep boards, calibrate food thermometers, organize line utensils and prep squeeze bottles",Kitchen,Morning,Daily,15
Deep oven & fryer oil filtration maintenance,"Filter fryer oil, scrub pizza oven deck, clean exhaust hood grease filters and drip pans",Kitchen,Evening,Weekly,25
Prep list completion & food label audit,"Complete prep list items, check FIFO expiry dates, apply date labels on walk-in container tubs",Kitchen,Afternoon,Daily,10
Zero food waste & stock rotation lead,"Monitor portion sizes, record daily waste log, rotate walk-in cooler inventory",Kitchen,Evening,Daily,15
Walk-in cooler deep cleaning & floor scrub,"Reorganize walk-in cooler shelves, wipe wall panels, scrub floor drains and sanitize door handles",Kitchen,Morning,Weekly,20
Dishwasher area sanitization & chemical audit,"Scrub dish pit sinks, clean food trap filters, verify sanitizer concentrations and restock aprons",Kitchen,Evening,Daily,10
Accelerated prep list & sauce batch production,"Prepare daily signature sauces, chop fresh vegetables, portion proteins for peak dinner service",Kitchen,Morning,Daily,15
Quick station wipe down & cutting board flip,"Wipe down stainless steel line tables, flip prep cutting boards, sanitize chef knives",Kitchen,Anytime,Daily,1
Hero shift lead & emergency floor cover,"Cover unexpected busy rush, assist team members across kitchen and floor during staff shortage",Everyone,Anytime,One-off,50